Statistic,Year.of.Outcome,Employment.Education.Status,.
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2021,Substantial employment only,2
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2021,Substantial employment and education,21
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2021,Education only,69
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2021,Neither employment nor education,5
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2021,Employment/Education status not identified,4
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2021,Employment/Education status all outcomes,100
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2022,Substantial employment only,7
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2022,Substantial employment and education,29
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2022,Education only,51
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2022,Neither employment nor education,9
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2022,Employment/Education status not identified,4
Percentage of Children who left care since April 2018 aged 18-23 in January 2024,2022,Employment/Education status all outcomes,100
All children aged 18-23 in January 2024,2019,Substantial employment only,7393
All children aged 18-23 in January 2024,2019,Substantial employment and education,72212
All children aged 18-23 in January 2024,2019,Education only,295616
All children aged 18-23 in January 2024,2019,Neither employment nor education,3809
All children aged 18-23 in January 2024,2019,Employment/Education status not identified,23708
All children aged 18-23 in January 2024,2019,Employment/Education status all outcomes,402738
All children aged 18-23 in January 2024,2020,Substantial employment only,17278
All children aged 18-23 in January 2024,2020,Substantial employment and education,86360
All children aged 18-23 in January 2024,2020,Education only,265966
All children aged 18-23 in January 2024,2020,Neither employment nor education,8879
All children aged 18-23 in January 2024,2020,Employment/Education status not identified,24255
All children aged 18-23 in January 2024,2020,Employment/Education status all outcomes,402738
All children aged 18-23 in January 2024,2021,Substantial employment only,32205
All children aged 18-23 in January 2024,2021,Substantial employment and education,154635
All children aged 18-23 in January 2024,2021,Education only,179279
All children aged 18-23 in January 2024,2021,Neither employment nor education,12776
All children aged 18-23 in January 2024,2021,Employment/Education status not identified,23843
All children aged 18-23 in January 2024,2021,Employment/Education status all outcomes,402738
All children aged 18-23 in January 2024,2022,Substantial employment only,54924
All children aged 18-23 in January 2024,2022,Substantial employment and education,197009
All children aged 18-23 in January 2024,2022,Education only,112037
All children aged 18-23 in January 2024,2022,Neither employment nor education,14859
All children aged 18-23 in January 2024,2022,Employment/Education status not identified,23909
All children aged 18-23 in January 2024,2022,Employment/Education status all outcomes,402738
Percentage of All children aged 18-23 in January 2024,2019,Substantial employment only,2
Percentage of All children aged 18-23 in January 2024,2019,Substantial employment and education,18
Percentage of All children aged 18-23 in January 2024,2019,Education only,73
Percentage of All children aged 18-23 in January 2024,2019,Neither employment nor education,1
Percentage of All children aged 18-23 in January 2024,2019,Employment/Education status not identified,6
Percentage of All children aged 18-23 in January 2024,2019,Employment/Education status all outcomes,100
Percentage of All children aged 18-23 in January 2024,2020,Substantial employment only,4
Percentage of All children aged 18-23 in January 2024,2020,Substantial employment and education,21
Percentage of All children aged 18-23 in January 2024,2020,Education only,66
Percentage of All children aged 18-23 in January 2024,2020,Neither employment nor education,2
Percentage of All children aged 18-23 in January 2024,2020,Employment/Education status not identified,6
Percentage of All children aged 18-23 in January 2024,2020,Employment/Education status all outcomes,100
Percentage of All children aged 18-23 in January 2024,2021,Substantial employment only,8
Percentage of All children aged 18-23 in January 2024,2021,Substantial employment and education,38
Percentage of All children aged 18-23 in January 2024,2021,Education only,45
Percentage of All children aged 18-23 in January 2024,2021,Neither employment nor education,3
Percentage of All children aged 18-23 in January 2024,2021,Employment/Education status not identified,6
Percentage of All children aged 18-23 in January 2024,2021,Employment/Education status all outcomes,100
Percentage of All children aged 18-23 in January 2024,2022,Substantial employment only,14
Percentage of All children aged 18-23 in January 2024,2022,Substantial employment and education,49
Percentage of All children aged 18-23 in January 2024,2022,Education only,28
Percentage of All children aged 18-23 in January 2024,2022,Neither employment nor education,4
Percentage of All children aged 18-23 in January 2024,2022,Employment/Education status not identified,6
Percentage of All children aged 18-23 in January 2024,2022,Employment/Education status all outcomes,100
